"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"	"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"
"ENSG00000000003.15_TSPAN6"	0	-0.396727885561587	0	0	-0.664252450246108	0
"ENSG00000000005.6_TNMD"	0	0	0	0	-0.812607050987726	0
"ENSG00000000419.13_DPM1"	0	-0.267707168127012	0	0	-0.529707942454283	0
"ENSG00000000457.14_SCYL3"	-0.794447871356781	0	-0.74523168592831	0	0	0
"ENSG00000000460.17_C1orf112"	0	0	0	0	0	0
"ENSG00000000938.13_FGR"	0	0	0	0	0.615963672256265	0
"ENSG00000000971.16_CFH"	0	0	0	0	0.38950717953196	0
"ENSG00000001036.14_FUCA2"	0	0	0	0	0	0
"ENSG00000001084.13_GCLC"	0	-0.212609370060806	0	0	-0.158645590641469	0.764463335849067
"ENSG00000001167.14_NFYA"	0	0	0	0	-0.144214368404633	0
"ENSG00000001460.18_STPG1"	0	0	0	0	0	0
"ENSG00000001461.17_NIPAL3"	0	0	0	0	0	0
"ENSG00000001497.18_LAS1L"	0	0	0	0	0	0
"ENSG00000001561.7_ENPP4"	0	0	0	0	0	0
"ENSG00000001617.12_SEMA3F"	0	0	0	0	0	0
"ENSG00000001626.16_CFTR"	0	-0.361941030602221	0	0	-0.545172571211516	0
"ENSG00000001629.10_ANKIB1"	0	-0.131960301788862	0	0	0	0
"ENSG00000001630.17_CYP51A1"	0	0	0	0	0	0
"ENSG00000001631.16_KRIT1"	0	-0.258484614940878	0	0	0	0
"ENSG00000002016.18_RAD52"	0	0	0	0	0	0
"ENSG00000002079.14_MYH16"	0	0	0	0	0	0
"ENSG00000002330.14_BAD"	0	0	0	0	0	0
"ENSG00000002549.12_LAP3"	0	0.243512636849122	0	0	0.514095238166855	0
"ENSG00000002586.20_CD99"	0	0	0	0	0	0
"ENSG00000002586.20_PAR_Y_CD99"	NA	NA	NA	NA	NA	NA
"ENSG00000002587.10_HS3ST1"	0	0.380079293118945	0	0	0.537949748862677	0
"ENSG00000002726.21_AOC1"	0	0	0	0	0	0
"ENSG00000002745.13_WNT16"	0	0	NA	NA	NA	NA
"ENSG00000002746.15_HECW1"	0	0	0	0	0	0
"ENSG00000002822.15_MAD1L1"	0	0.447512491105798	0	0	0.668518173871536	0
"ENSG00000002834.18_LASP1"	0	0	0	0	0	0
"ENSG00000002919.15_SNX11"	0	0	0	0	0	0
"ENSG00000002933.9_TMEM176A"	0	-0.489710592711328	0	0	-0.884334285287816	0
"ENSG00000003056.8_M6PR"	0	0	-0.671868175074244	0	0	0
"ENSG00000003096.14_KLHL13"	0	-0.6577986795114	0	0	0	0
"ENSG00000003137.8_CYP26B1"	0	0	0	0	0	0
"ENSG00000003147.19_ICA1"	0	-0.232364723275062	0	0	-0.24747844756634	0
"ENSG00000003249.15_DBNDD1"	0	0	0	0	0	0
"ENSG00000003393.15_ALS2"	0	0	0	0	0	0
"ENSG00000003400.15_CASP10"	0	0	0	0	0.430528487129161	0
"ENSG00000003402.20_CFLAR"	0	0	0	0	0	0
"ENSG00000003436.16_TFPI"	0	0	0	0	0	0
"ENSG00000003509.16_NDUFAF7"	0	0	0	0	-0.228580168388593	0
"ENSG00000003756.17_RBM5"	0	0	0	0	0	0
"ENSG00000003987.14_MTMR7"	0	0	0	0	0.389943023149142	0
"ENSG00000003989.18_SLC7A2"	0	0	0	0	0	0
"ENSG00000004059.11_ARF5"	0	-0.262582062309497	0	0	0	0
"ENSG00000004139.14_SARM1"	0	0	0	0	0	0
"ENSG00000004142.12_POLDIP2"	0	0	0	0	0	0
"ENSG00000004399.13_PLXND1"	0	0	0	0	0.440691926836198	0
"ENSG00000004455.17_AK2"	0	0	0	0	0	0
"ENSG00000004468.13_CD38"	0	0	0	0	0	0
"ENSG00000004478.8_FKBP4"	0	0	0	0	0	0
"ENSG00000004487.17_KDM1A"	0	0	0	0	0	0
"ENSG00000004534.15_RBM6"	0	0	0	0	0	0
"ENSG00000004660.15_CAMKK1"	0	0	0	0	0	0
