"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"	"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"
"ENSG00000000003.15_TSPAN6"	0	-0.257196595770797	0	0	0	0
"ENSG00000000005.6_TNMD"	NA	NA	NA	NA	0	NA
"ENSG00000000419.13_DPM1"	0	-0.156603400130868	0	0	-0.243723613732627	0
"ENSG00000000457.14_SCYL3"	0	0	0	0	0	0
"ENSG00000000460.17_C1orf112"	0	-0.420608916734976	0	0	0	0
"ENSG00000000938.13_FGR"	0	0.477207767059102	0	0	0	0
"ENSG00000000971.16_CFH"	0	0.354953238606629	0	0	0	0
"ENSG00000001036.14_FUCA2"	0	0	0	0	0	0
"ENSG00000001084.13_GCLC"	0	-0.484805959801471	0	0	0	0
"ENSG00000001167.14_NFYA"	0	-0.398583916815978	0	0	0	0
"ENSG00000001460.18_STPG1"	0	0	0	0	0	0
"ENSG00000001461.17_NIPAL3"	0	0.213786484635057	0	0	0	0
"ENSG00000001497.18_LAS1L"	0	-0.149187850324649	0	0	0	0
"ENSG00000001561.7_ENPP4"	0	0	0	0	0	0
"ENSG00000001617.12_SEMA3F"	0	0.273223732082633	0	0	0	0
"ENSG00000001626.16_CFTR"	0	0.576453732734658	0	0	0	0
"ENSG00000001629.10_ANKIB1"	0	-0.25375549695174	0	0	0	0
"ENSG00000001630.17_CYP51A1"	0	0	0	0	0	0
"ENSG00000001631.16_KRIT1"	0	0	0	0	0	0
"ENSG00000002016.18_RAD52"	0	0	0	0	0	0
"ENSG00000002079.14_MYH16"	0	0	0	0	0	0
"ENSG00000002330.14_BAD"	0	0	0	0	0	0
"ENSG00000002549.12_LAP3"	0	0	0	0	0	0
"ENSG00000002586.20_CD99"	0	0	0	0	0	0
"ENSG00000002586.20_PAR_Y_CD99"	NA	NA	NA	NA	NA	NA
"ENSG00000002587.10_HS3ST1"	0	0	0	0	0	0
"ENSG00000002726.21_AOC1"	0	0	0	0	0	0
"ENSG00000002745.13_WNT16"	NA	NA	NA	0	-1.7302616877386	0
"ENSG00000002746.15_HECW1"	0	0	0	0	0	0
"ENSG00000002822.15_MAD1L1"	0	0	0	0	-0.615773284802561	0
"ENSG00000002834.18_LASP1"	0	0	0	0	0	0
"ENSG00000002919.15_SNX11"	0	0	0	0	0	0
"ENSG00000002933.9_TMEM176A"	0	0	0	0	0	0
"ENSG00000003056.8_M6PR"	0	0	0	0	0	0
"ENSG00000003096.14_KLHL13"	0	-0.545641600541441	0	0	0	0
