"LUAD_NORMAL_DEEP"	"LUAD_NORMAL_SHALLOW"	"LUAD_SHALLOW_DEEP"	"LUAD_MALE_FEMALE"	"LUAD_MALE_NORMAL_DEEP"	"LUAD_MALE_NORMAL_SHALLOW"	"LUAD_MALE_SHALLOW_DEEP"	"LUAD_FEMALE_NORMAL_DEEP"	"LUAD_FEMALE_NORMAL_SHALLOW"	"LUAD_FEMALE_SHALLOW_DEEP"
"ENSG00000000003.15_TSPAN6"	0	0	0	0	0	0	0	0	0	0
"ENSG00000000005.6_TNMD"	0	2.31248576401709	0	0	0	4.12789170931834	0	0	0	0
"ENSG00000000419.13_DPM1"	0	-0.195220368666025	0	0	0	0	0	0	0	0
"ENSG00000000457.14_SCYL3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000000460.17_C1orf112"	0	-0.319258112912374	0	0	0	0	0	0	-0.420608916734976	0
"ENSG00000000938.13_FGR"	0	0	0	0	0	0	0	0	0.477207767059102	0
"ENSG00000000971.16_CFH"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001036.14_FUCA2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001084.13_GCLC"	0	0	0	0.827288025239491	0	0	0	0	0	0
"ENSG00000001167.14_NFYA"	0	-0.248060961580201	0	0	0	0	0	0	-0.398583916815978	0
"ENSG00000001460.18_STPG1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001461.17_NIPAL3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001497.18_LAS1L"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001561.7_ENPP4"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001617.12_SEMA3F"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001626.16_CFTR"	0	0.540639220958674	0	0	0	0	0	0	0	0
"ENSG00000001629.10_ANKIB1"	0	-0.190150888122215	0	0	0	0	0	0	-0.25375549695174	0
"ENSG00000001630.17_CYP51A1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000001631.16_KRIT1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002016.18_RAD52"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002079.14_MYH16"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002330.14_BAD"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002549.12_LAP3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002586.20_CD99"	0	0	0	0.309994466980493	0	0	0	0	0	0
"ENSG00000002586.20_PAR_Y_CD99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000002587.10_HS3ST1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002726.21_AOC1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002745.13_WNT16"	0	-2.80043096806409	0	0	0	-2.7626565410363	4.4260246668524	0	-2.87238507801752	0
"ENSG00000002746.15_HECW1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002822.15_MAD1L1"	0	-0.348788722390457	0	0	0	-0.615773284802561	0	0	0	0
"ENSG00000002834.18_LASP1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002919.15_SNX11"	0	0	0	0	0	0	0	0	0	0
"ENSG00000002933.9_TMEM176A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003056.8_M6PR"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003096.14_KLHL13"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003137.8_CYP26B1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003147.19_ICA1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003249.15_DBNDD1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003393.15_ALS2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003400.15_CASP10"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003402.20_CFLAR"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003436.16_TFPI"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003509.16_NDUFAF7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003756.17_RBM5"	0	0	0	0	0	0	0	0	0	0
"ENSG00000003987.14_MTMR7"	0	-1.34155210693676	0	0.903838036473885	0	-1.53935325153492	0	0	-1.10054963580904	0
"ENSG00000003989.18_SLC7A2"	0	0	0	0.78548653894716	0	0	0	0	0	0
"ENSG00000004059.11_ARF5"	0	-0.208620855576994	0	0	0	0	0	0	0	0
"ENSG00000004139.14_SARM1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004142.12_POLDIP2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004399.13_PLXND1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004455.17_AK2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004468.13_CD38"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004478.8_FKBP4"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004487.17_KDM1A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000004534.15_RBM6"	0	0	0	0	0	0	0	0	0	0
